序号,关键字,用法
1,auto,声明自动变量
2,break  ,跳出当前循环
3,case ,开关语句分支
4,char,声明字符型变量或函数返回值类型
5,const,定义常量若一个变量被const修饰，那么他的值就无法再改变
6,continue,结束当前循环，开始下一轮循环
7,default,开关语句中的其他分支
8,do,循环语句中的循环体
9,double,声明双精度浮点型变量或函数返回值类型
10,else,条件语句否定分支（与if连用）
11,enum,声明枚举类型
12,extern,声明变量或函数是在其他文件或本文件的其他位置定义
13,float,声明单精度浮点型变量或函数返回值类型
14,for,循环语句
15,goto,无条件跳转语句
16,if,条件语句
17,inline,内联函数（c99新增）
18,int,声明整型变量或函数
19,long,声明长整型变量或函数返回值类型
20,register,声明寄存器变量
21,restrict,用于限定指针（c99新增）
22,return,子程序返回语句（可以带参数也可以不带参数）
23,short,声明短整型变量或函数
24,signed,声明有符号类型变量或函数
25,sizeof,计算数据类型或变量长度（即所占字节数）
26,static,声明静态变量
27,struct,声明结构体类型
28,switch,用于开关语句
29,typedef,用于给数据类型取别名
30,union,声明共用体类型
31,unsigned,声明无符号类型变量或函数
32,void,声明函数无返回值或无参数，声明无类型指针
33,volatile,说明变量在程序执行中可被隐含地改变
34,while,循环语句的循环条件
35,_Bool,定义布尔类型变量（1真0假）（c99新增）
36,_Complex,定义复数类型（c99新增）
37,_Imaginary,定义虚数类型（c99新增）
